date,model,alpha,pinball_loss
2023-05-05,gas_vine,0.01,0.00013163041658435014
2023-05-08,gas_vine,0.01,0.00011470071939176702
2023-05-09,gas_vine,0.01,0.00011003328826844683
2023-05-10,gas_vine,0.01,0.00013433817591764936
2023-05-11,gas_vine,0.01,9.328323278518052e-05
2023-05-12,gas_vine,0.01,4.7858513522358054e-05
2023-05-15,gas_vine,0.01,0.0001556161642136354
2023-05-16,gas_vine,0.01,4.8035228031680144e-05
2023-05-17,gas_vine,0.01,0.00012153256148716319
2023-05-18,gas_vine,0.01,4.762227032887479e-05
2023-05-19,gas_vine,0.01,0.0001421761049704974
2023-05-22,gas_vine,0.01,0.00011328411971356562
2023-05-23,gas_vine,0.01,5.58552364112899e-05
2023-05-24,gas_vine,0.01,6.081728425116204e-05
2023-05-25,gas_vine,0.01,5.917685368480469e-05
2023-05-26,gas_vine,0.01,0.00018932344280371896
2023-05-30,gas_vine,0.01,0.00010537481781172524
2023-05-31,gas_vine,0.01,9.579487289360948e-05
2023-06-01,gas_vine,0.01,0.00021343508858253038
2023-06-02,gas_vine,0.01,0.00013127771941610466
2023-06-05,gas_vine,0.01,0.00012798558899894196
2023-06-06,gas_vine,0.01,0.0001758140079547148
2023-06-07,gas_vine,0.01,5.4120743866296356e-05
2023-06-08,gas_vine,0.01,0.00020653160151288145
2023-06-09,gas_vine,0.01,0.00011951048786765375
2023-06-12,gas_vine,0.01,0.000138414749674252
2023-06-13,gas_vine,0.01,0.00013612998616041808
2023-06-14,gas_vine,0.01,0.00015785639138348454
2023-06-15,gas_vine,0.01,0.00019968411999313115
2023-06-16,gas_vine,0.01,8.915687090109846e-05
2023-06-20,gas_vine,0.01,4.255004222962231e-05
2023-06-21,gas_vine,0.01,0.00012617223380178105
2023-06-22,gas_vine,0.01,5.436335575541844e-05
2023-06-23,gas_vine,0.01,7.574399381716876e-05
2023-06-26,gas_vine,0.01,0.000148564336376019
2023-06-27,gas_vine,0.01,0.00014006991821648087
2023-06-28,gas_vine,0.01,0.00011259836316380615
2023-06-29,gas_vine,0.01,7.20982998948685e-05
2023-06-30,gas_vine,0.01,0.0001725261800500286
2023-07-03,gas_vine,0.01,0.00013256730108856586
